talk_name,event_cat,views_x,p_year,mws,fkl,mtld,cnt_i,cnt_we,cnt_you,nip_comps_cnt,nip,nvr,time_period,most_frequent_topic
The exploitation of US college athletes,TEDx,438573,2021,23.0,14.8,116.16772685337526,8,14,9,18,0.0294599018003273,2.033333333333333,4,technology
"An honest history of an ancient and ""nasty"" word",TEDx,569477,2021,15.5,7.3,79.91671374751844,28,59,56,22,0.019163763066202,1.78239608801956,4,health
The electrical blueprints that orchestrate life,TED Main,122682,2021,16.0,10.1,72.81881236589778,12,61,88,26,0.0221088435374149,1.2380073800738007,4,environment
Language around gender and identity evolves (and always has),TEDx,562325,2021,15.0,8.7,71.22240401898881,19,36,47,12,0.0151133501259445,1.2993197278911566,4,economy
The seeds of change helping African farmers grow out of poverty,TED Main,53131,2021,17.5,9.3,83.20575577719308,16,20,2,8,0.020671834625323,1.7636363636363637,4,environment
An election system that puts voters (not politicians) first,TEDx,648341,2021,16.0,7.9,70.50313741528589,7,39,24,17,0.0274636510500807,1.758974358974359,4,entertainment
Why I photograph the quiet moments of grief and loss,TEDx,637626,2021,14.0,6.3,75.78905467296408,92,26,25,6,0.007416563658838,1.0724137931034483,4,human feelings
"Possible futures from the intersection of nature, tech and society",TED Salon,684173,2021,23.0,14.9,152.2077963602514,6,43,5,3,0.0057471264367816,2.06043956043956,4,environment
Online learning could change academia -- for good,TEDx,845816,2021,16.0,8.1,112.06815106414244,43,16,26,14,0.0167464114832535,1.5016722408026757,4,gender equity
"How synthetic biology can improve our health, food and materials",TED Institute,707812,2021,15.0,10.3,93.02483479280151,5,52,27,7,0.0104947526236881,1.7685589519650655,4,environment
What if mental health workers responded to emergency calls?,TEDx,760782,2021,13.5,6.0,71.89399656087748,15,47,12,13,0.0222984562607204,1.554585152838428,4,human feelings
"4 lessons the pandemic taught us about work, life and balance",TED Salon,900909,2021,12.0,7.0,42.62446942947271,5,90,21,9,0.0191489361702127,0.8537549407114624,4,gender equity
"Love, sorrow and the emotions that power climate action",TEDx,734225,2021,18.0,9.6,81.74787724598505,18,56,20,4,0.0051948051948051,1.493723849372385,4,human feelings
"The myth of bringing your full, authentic self to work",TEDx,849569,2021,13.0,7.4,81.09883624927501,26,53,62,6,0.0064377682403433,1.298305084745763,4,health
How compassion could save your strained relationships,TEDx,910628,2021,13.0,6.5,56.28532159045057,32,50,20,6,0.0090497737556561,0.9070796460176992,4,health
How video game skills can get you ahead in life,TED Institute,904525,2021,17.0,9.4,132.05269925932237,21,22,16,21,0.0338164251207729,1.8482142857142856,4,gender equity
The value of your humanity in an automated future,TED Institute,906388,2021,21.0,10.3,108.72648941649086,18,24,31,13,0.0200308166409861,1.653386454183267,4,human feelings
Why there's no such thing as objective reality,TEDx,987923,2021,20.0,13.2,79.93522460455169,7,71,10,18,0.0184049079754601,2.165898617511521,4,health
"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology",TEDx,931572,2021,15.5,8.9,91.1731892188396,11,23,9,8,0.0110650069156293,1.9635416666666667,4,human feelings
Meditations on the intersection of humanity and technology,TED Institute,207368,2021,20.0,10.2,100.14067709604488,32,26,8,15,0.0267379679144385,1.3043478260869563,4,human feelings
"How theater weathers wars, outlasts empires and survives pandemics",TEDx,846865,2021,15.0,7.6,57.36268544386108,25,89,26,11,0.0123734533183352,1.365650969529086,4,human feelings
I let algorithms randomize my life for two years,TEDx,1098277,2021,17.0,8.7,59.20163798525774,87,27,31,6,0.0085106382978723,1.250936329588015,4,gender equity
5 steps to designing the life you want,TEDx,3260236,2021,12.0,6.2,59.24269622093024,57,119,290,85,0.0559210526315789,0.9638418079096044,4,human feelings
Technology can't fix inequality -- but training and opportunities could,TED Salon,977417,2021,26.0,13.8,89.35374836745791,28,30,11,13,0.0202492211838006,1.444,4,technology
How to get everyone to care about a green economy,TEDx,1211422,2021,16.0,9.4,74.16236074685403,17,73,13,9,0.0134128166915052,1.3918495297805642,4,environment
How technology changes our sense of right and wrong,TED Main,1163844,2021,14.0,7.4,53.31476753947172,2,20,54,12,0.027027027027027,1.611842105263158,4,health
"TikTok, Instagram, Snapchat -- and the rise of bite-sized content",TED Institute,231688,2021,26.5,14.2,129.51559717733957,6,12,6,19,0.0360531309297912,2.2818791946308723,4,technology
How a geospatial nervous system could help us design a better future,TED Salon,947569,2021,19.0,11.2,63.85596635278776,42,111,56,18,0.0135135135135135,1.4859437751004017,4,human feelings
"When the world is burning, is art a waste of time?",TEDx,1036440,2021,14.0,5.9,87.89135810915128,51,40,23,9,0.0117801047120418,1.4813432835820894,4,technology
A stealthy reimagining of urban public space,TED Women,187061,2021,19.0,11.3,110.24943989869472,2,30,6,13,0.0212071778140293,2.132596685082873,4,health
What COVID-19 revealed about US schools -- and 4 ways to rethink education,TEDx,1170356,2021,15.0,8.3,79.66006642533821,8,75,6,12,0.0188976377952755,1.524390243902439,4,gender equity
The joy of shopping -- and how to recapture it online,TED Institute,1004488,2021,17.0,9.1,90.71926582902192,20,21,39,13,0.0190336749633967,1.350210970464135,4,gender equity
My journey mapping the uncharted world,TED Salon,1037168,2021,30.5,14.1,89.03170370287633,17,31,10,18,0.0398230088495575,2.1875,4,human feelings
How vulnerability makes you a better leader,TED Women,1149959,2021,17.0,7.7,70.60597602634647,66,19,7,7,0.0170316301703163,0.9944444444444444,4,human feelings
3 ways to upgrade democracy for the 21st century,TEDx,1077511,2021,28.0,13.9,78.653073286052,11,65,20,15,0.017688679245283,1.628975265017668,4,human feelings
How a strong creative industry helps economies thrive,TED Institute,1003836,2021,21.5,11.9,104.72312454191017,24,28,14,19,0.029968454258675,1.9953917050691243,4,human feelings
How bad data keeps us from good AI,TED Salon,1107739,2021,18.0,13.2,79.12696632628047,4,28,5,17,0.0279605263157894,2.695035460992908,4,technology
How your brain responds to stories -- and why they're crucial for leaders,TEDx,1349919,2021,18.0,9.0,60.17279561610351,16,49,75,17,0.0201660735468564,1.0552884615384617,4,technology
How carbon capture networks could help curb climate change,TED Institute,1033849,2021,23.0,12.0,105.95542248835662,3,43,9,35,0.0526315789473684,2.497354497354497,4,environment
6 essential lessons for women leaders,TED Women,1107055,2021,21.0,9.8,103.06666666666666,25,21,25,10,0.0174825174825174,1.3775100401606426,4,health
How AI can help shatter barriers to equality,TED Women,1138826,2021,21.5,11.9,97.94241894525015,20,16,4,4,0.0112676056338028,1.4274193548387095,4,human feelings
The 1-minute secret to forming a new habit,TEDx,1620206,2021,18.0,9.2,64.85328287896203,40,29,47,6,0.009009009009009,0.8598484848484849,4,gender equity
How to turn moments into momentum,TED Women,1100576,2021,15.0,7.9,68.93722745916295,43,18,9,2,0.0072202166064981,0.8662790697674418,4,technology
The counterintuitive way to be more persuasive,TEDx,1460117,2021,21.0,11.9,64.61056365210425,3,40,40,32,0.0492307692307692,1.967741935483871,4,gender equity
