talk,speaker,speaker_title,speaker_occ,speaker_bio
Can you outsmart the apples and oranges fallacy?,Elizabeth Cox,,,
The exploitation of US college athletes,Tim Nevius,,College sports lawyer,Tim Nevius is a leading sports lawyer and college athlete advocate.
How does ultrasound work?,Jacques Abramowicz,,,
"An honest history of an ancient and ""nasty"" word",Kate Lister,,Sex historian,Kate Lister is a sex historian and lecturers at Leeds Trinity University.
The electrical blueprints that orchestrate life,Michael Levin,,Bioelectric explorer,"Michael Levin's research could give rise to adaptive, self-repairing robotics and novel platforms for artificial intelligence."
Language around gender and identity evolves (and always has),Archie Crowley,,Sociolinguist,"Archie Crowley studies the relationship between language, gender and culture with the goal of bringing people together and working for justice for trans communities."
Why every world map is wrong,Kayla Wolf,,,
A brief history of the devil,Brian Pavlac,,,
The seeds of change helping African farmers grow out of poverty,Andrew Youn,,Executive Director and Cofounder of One Acre Fund,"With One Acre Fund, Andrew Youn fights poverty in rural sub-Saharan Africa."
Can you solve the fantasy election riddle?,Dennis Shasha,,,
An election system that puts voters (not politicians) first,Amber McReynolds,,"Voting rights expert, democracy entrepreneur",Amber McReynolds's vision is to create election systems that put voters first and improve the voting experience for all. 
Why I photograph the quiet moments of grief and loss,Caroline Catlin,,"Photographer, writer","Caroline Catlin's research in behavioral health and developmental trauma has inspired her to incorporate art into the process of caregiving and therapy, as well as to work on reforming the way health, illness and disability are portrayed in the media. She is fueled most by gratitude, community and sour candy."
Ugly History,Kayla Wolf,,,
"Possible futures from the intersection of nature, tech and society",Natsai Audrey Chieza,,"Founder, designer","Operating at the intersection of design, nature and technology, Natsai Audrey Chieza is an internationally recognized leader in the rapidly emerging field of biodesign."
What's the best fuel for your car?, TED-Ed,,,
The innovations we need to avoid a climate disaster,Bill Gates,,"Technologist, philanthropist","A passionate tech visionary, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere."
How do antidepressants work?,Neil Jeyasingam,,,
Online learning could change academia -- for good,Tyler DeWitt,,Technology-driven science educator,"Tyler DeWitt recognizes that textbooks are not the way to get young people interested in science. Instead, he teaches science by making it fun and fantastical."
How to have constructive conversations,Julia Dhar,,"Business strategist, champion debater","BCG's Julia Dhar is a champion of ideas, facts and productive disagreement."
How much land does it take to power the world?, TED-Ed,,,
"How synthetic biology can improve our health, food and materials",Emily Leproust,,DNA synthesizer,Emily Leproust is an early pioneer in the synthesis and sequencing of DNA.
"The incredible, bendable, twistable, expandable elephant trunk",Chase LaDue,,,
