talk_desc,event,talk_name,views,duration,tags,recorded_at,published on
"It's 1997. The United States Senate has called a hearing about global warming. Some expert witnesses point out that past periods in Earth's history were warmer than the 20th century. Because such variations existed long before humans, they claim the current trend is also the result of natural variation. Can you spot the problem with this argument? Elizabeth Cox explores the false analogy fallacy. [Directed by TOGETHER, narrated by Jack Cutmore-Scott, music by Massassauga].",TED-Ed,Can you outsmart the apples and oranges fallacy?,119359,327,"['education', 'psychology', 'animation', 'TED-Ed', 'brain', 'climate change']",2021-04-05T00:00:00.000+00:00,1617636753
"Colleges and universities in the US make billions of dollars each year from sports, compromising the health and education of athletes -- who are disproportionately Black -- in the name of money, power and pride. Sports lawyer and former NCAA investigator Tim Nevius exposes how the system exploits young talent and identifies fundamental reforms needed to protect players.",TEDxDayton,The exploitation of US college athletes,438573,611,"['sports', 'law', 'education', 'United States', 'race', 'policy', 'TEDx']",2020-11-10T00:00:00.000+00:00,1617634131
"In a dark cave, bats can't see much. But even with their eyes shut, they can navigate rocky topography at incredible speeds. This is because bats aren't just guided by their eyes, but rather, by their ears. It may seem impossible to see with sound, but bats, naval officers, and doctors do it all the time. How is that possible? Jacques S. Abramowicz digs into the unique properties of ultrasound. [Directed by Sofia Pashaei, narrated by Addison Anderson, music by Jarrett Farkas].",TED-Ed,How does ultrasound work?,140874,295,"['education', 'technology', 'animation', 'TED-Ed', 'invention', 'medicine', 'health care', 'medical imaging', 'science', 'pregnancy', 'innovation', 'health', 'biology', 'healthcare', 'sound']",2021-04-01T00:00:00.000+00:00,1617290223
"With candor and cunning, sex historian Kate Lister chronicles the curious journey of an ancient, honest word with innocent origins and a now-scandalous connotation in this uproarious love letter to etymology, queens, cows and all things ""cunt."" (This talk contains mature language.)",TEDxUniversityofGlasgow,"An honest history of an ancient and ""nasty"" word",569477,1148,"['sex', 'language', 'ancient world', 'history', 'society', 'TEDx', 'humor']",2020-03-06T00:00:00.000+00:00,1617289565
"DNA isn't the only builder in the biological world -- there's also a mysterious bioelectric layer directing cells to work together to grow organs, systems and bodies, says biologist Michael Levin. Sharing unforgettable and groundbreaking footage of two-headed worms, he introduces us to xenobots -- the world's first living robots, created in his lab by cracking the electrical code of cells -- and discusses what this discovery may mean for the future of medicine, the environment and even life itself. (This conversation, hosted by TED's Chris Anderson, was recorded June 2020.)",TED2020 ,The electrical blueprints that orchestrate life,122682,1176,"['biology', 'science', 'invention', 'robots', 'DNA', 'technology', 'nature', 'innovation', 'future', 'engineering']",2020-05-18T00:00:00.000+00:00,1617213773
"Dictionaries and grammar ""rules"" don't have the final word on language -- and believing they do can harm more than help, especially for the trans community. Sociolinguist Archie Crowley deconstructs three common myths around language, demonstrating how it's a fluid system that naturally evolves in the direction of inclusion.",TEDxUofSC,Language around gender and identity evolves (and always has),562325,794,"['language', 'LGBT', 'history', 'Transgender', 'communication', 'TEDx', 'identity', 'social change']",2020-10-21T00:00:00.000+00:00,1617203258
"Fourteen Greenlands could fit in Africa— but you wouldn't guess it from most maps of the world. The fact is, every world map humans have ever made is wrong. Actually, it's impossible to make a flat map of the whole spherical world 100% right. So why do we bother with these inaccurate maps at all? Kayla Wolf explores how even the simplest changes in map design can shift our point of view. [Directed by Globizco Studios, narrated by Alexandra Panzer, music by Manuel Borda]. ",TED-Ed,Why every world map is wrong,287858,279,"['TED-Ed', 'education', 'history', 'animation', 'map', 'design', 'exploration']",2021-03-29T00:00:00.000+00:00,1617133544
"Satan, the beast crunching sinners' bones. Lucifer, the fallen angel. Mephistopheles, the trickster striking deals. These three divergent devils are all based on Satan of the Old Testament. But unlike any of these literary devils, the Satan of the Bible was a relatively minor character. So how did he become the ultimate antagonist, with so many different forms? Brian A. Pavlac investigates. [Directed by Reza Riahi & Mehdi Shiri, narrated by Jack Cutmore-Scott, music by André Aires].",TED-Ed,A brief history of the devil,323035,286,"['TED-Ed', 'religion', 'history', 'education', 'animation', 'literature', 'arts', 'art', 'culture', 'world cultures']",2021-03-30T00:00:00.000+00:00,1617133321
"Farmers stand at the center of the world, says Andrew Youn, cofounder of One Acre Fund, an agricultural organization that's empowering sub-Saharan farm families with the loans, seeds, fertilizer and training needed to increase crop yields and end hunger. Meet Therese Niyonsaba, a Rwandan farmer who shares how the program helped her family prosper, and learn more about One Acre Fund's goal to lead a farmer-focused green revolution and reach 6.8 million families by 2026. (This ambitious plan is a part of the Audacious Project, TED's initiative to inspire and fund global change.)",TED2020 ,The seeds of change helping African farmers grow out of poverty,53131,387,"['Audacious Project', 'agriculture', 'global development', 'poverty', 'farming', 'women']",2020-06-18T00:00:00.000+00:00,1617114798
"After much debate, the realm has decided dragon jousting may not be the best way to choose its leaders, and has begun transitioning to democracy. Your company was hired to survey the citizens of the land and predict which candidate will win. There's a lot riding on this: if you get it wrong, heads— well, your head— will quite literally roll. Can you predict the winner? Dennis Shasha shows how. [Directed by Igor Coric, Artrake Studio, narrated by Addison Anderson].",TED-Ed,Can you solve the fantasy election riddle?,239236,327,"['TED-Ed', 'animation', 'education', 'democracy', 'statistics', 'math']",2021-03-25T00:00:00.000+00:00,1616693715
"From hours-long lines and limited polling locations to confusing and discriminatory registration policies, why is it so hard to vote in the US? Voting rights expert Amber McReynolds offers a proven alternative: a new process, already happening in parts of the country, that could bring accountability, transparency and equity to the outdated and sputtering system that American democracy currently relies on.",TEDxMileHigh,An election system that puts voters (not politicians) first,648341,619,"['United States', 'democracy', 'politics', 'society', 'TEDx', 'policy', 'government']",2020-08-29T00:00:00.000+00:00,1616685527
"The only thing as powerful as our grief is the love we have for those we've lost, says photographer Caroline Catlin. In this meditation on the intersection of life and death, Catlin shares how her personal journey with loss drove her to capture the elusive moments of grace and beauty that exist even in the hardest moments imaginable.",TEDxSeattle,Why I photograph the quiet moments of grief and loss,637626,809,"['life', 'death', 'photography', 'family', 'relationships', 'emotions', 'humanity', 'TEDx']",2020-11-21T00:00:00.000+00:00,1616598277
"In 1478, Pope Sixtus IV issued a decree authorizing the Catholic monarchs, Ferdinand and Isabella, to root out heresy in the Spanish kingdoms. The inquisition quickly turned its attention to ridding the region of people who were not part of the Catholic Church— leading to more than 350 years of ethnic cleansing. Kayla Wolf digs into the persecution and brutality of the Spanish Inquisition. [Directed by Luísa M H Copetti, Hype CG, narrated by Bethany Cutmore-Scott, music by Gabriel Maia].",TED-Ed,Ugly History,331903,324,"['TED-Ed', 'education', 'religion', 'history', 'Islam', 'Judaism', 'Christianity', 'animation']",2021-03-23T00:00:00.000+00:00,1616517654
"Biodesigner Natsai Audrey Chieza prototypes the future, imagining a world where people and nature can thrive together. In this wildly imaginative talk, she shares the vision behind her innovation lab, which works at the intersection of nature, technology and society to create sustainable materials and models for the future. Chieza invites us to consider what kind of world we wish for -- and what systemic changes and collaborations need to happen for it to exist.",TED Salon DWEN,"Possible futures from the intersection of nature, tech and society",684173,522,"['biology', 'science', 'innovation', 'future', 'technology', 'design', 'collaboration']",2021-03-11T00:00:00.000+00:00,1616511348
"Historically, most cars have run on gasoline, but that doesn't have to be the case in the future: other liquid fuels and electricity can also power cars. So what are the differences between these options? And which one's best? Dig into which fuel— gasoline, electric, biofuels, or electrofuels— is both affordable for consumers and sustainable for the planet. [Written by Elizabeth Cox and George Zaidan, directed by Lisa LaBracio, narrated by Jack Cutmore-Scott, music by André Aires].",TED-Ed,What's the best fuel for your car?,226921,260,"['TED-Ed', 'animation', 'education', 'cars', 'climate change', 'electricity', 'energy', 'technology', 'design', 'innovation']",2021-03-22T00:00:00.000+00:00,1616425309
"The single most important thing for avoiding a climate disaster is cutting carbon pollution from the current 51 billion tons per year to zero, says philanthropist and technologist Bill Gates. Introducing the concept of the ""green premium"" -- the higher price of zero-emission products like electric cars, artificial meat or sustainable aviation fuel -- Gates identifies the breakthroughs and investments we need to reduce the cost of clean tech, decarbonize the economy and create a pathway to a clean and prosperous future for all. (This virtual conversation, hosted by TED Global curator Bruno Giussani, was recorded in March 2021.)",Countdown,The innovations we need to avoid a climate disaster,912232,2901,"['innovation', 'technology', 'climate change', 'economics', 'energy', 'environment', 'leadership', 'sustainability', 'alternative energy']",2021-03-22T00:00:00.000+00:00,1616413891
"In the 1950s, the discovery of two new drugs sparked what would become a multi-billion dollar market for antidepressants. Neither drug was intended to treat depression at all— many doctors and scientists believed psychotherapy was the only approach to treatment. Neil R. Jeyasingam details the decades-long journey that followed and how it revolutionized our understanding of depression. [Directed by Skirmanta Jakaitė and Art Shot, narrated by Addison Anderson, music by Salil Bhayani].",TED-Ed,How do antidepressants work?,311517,279,"['education', 'animation', 'TED-Ed', 'mental health', 'depression', 'brain', 'medicine', 'biology', 'neuroscience']",2021-03-18T00:00:00.000+00:00,1616094668
"Higher education remains rooted in rigid, traditional structures and tracks -- and it's at risk of getting left behind in favor of expanded access, greater flexibility and tailored learning. Educator Tyler DeWitt explains how innovations in digital content and virtual reality are ushering in the future of learning, emphasizing why academia must adapt to this new reality and embrace an approach to education that works with students' needs -- not against them.",TEDxMIT,Online learning could change academia -- for good,845816,836,"['education', 'teaching', 'student', 'virtual reality', 'TEDx']",2020-05-27T00:00:00.000+00:00,1616081451
"No matter how we make electricity, it takes up space. Coal requires mines, and plants to convert it into electricity. Nuclear power takes uranium mines, facilities to refine it, a reactor, and a place to store the spent fuel safely. Renewable energy needs wind turbines or solar panels. So how much space would it take to power the whole world? Explore the sustainability of different power sources. [Written by Elizabeth Cox and George Zaidan, directed by Lisa LaBracio, narrated by Jack Cutmore-Scott, music by André Aires].",TED-Ed,How much land does it take to power the world?,260089,266,"['TED-Ed', 'education', 'animation', 'electricity', 'climate change', 'sustainability', 'energy', 'technology', 'solar', 'solar energy', 'wind energy', 'invention', 'innovation']",2021-03-16T00:00:00.000+00:00,1615907001
"What if we could use biology to restore our balance with nature without giving up modern creature comforts? Advocating for a new kind of environmentalism, scientist and entrepreneur Emily Leproust rethinks modern sustainability at the molecular level, using synthetic biology to create green alternatives. From lab-developed insulin and disease-resistant bananas to airplanes made of super-strong spider silk, she explains how reading and writing DNA can lead to groundbreaking innovations in health, food and materials.",TED@BCG,"How synthetic biology can improve our health, food and materials",707812,667,"['biology', 'nature', 'DNA', 'environment', 'innovation', 'sustainability']",2020-10-21T00:00:00.000+00:00,1615906321
"As a breeze blows through the savannah, a snake-shaped tube stretches into the air and scans the horizon like a periscope. But it's not seeing— it's sniffing. Containing no bones and an estimated 40,000 muscles, an elephant trunk is one of the most versatile tools in the animal kingdom. Chase LaDue and Bruce Schulte detail the incredible capabilities of these agile appendages. [Directed by Petya Zlateva, narrated by Addison Anderson, music by BigBanda SoundScapers].",TED-Ed,"The incredible, bendable, twistable, expandable elephant trunk",188552,292,"['TED-Ed', 'education', 'animation', 'animals', 'science', 'biology', 'communication']",2021-03-15T00:00:00.000+00:00,1615822172
"When you report an emergency in the US, police, firefighters or paramedics answer the call. What if mental health professionals responded, too? Colorado State Representative Leslie Herod shares a straightforward and research-backed approach that brings heart and humanity to criminal justice rather than unnecessary fines and arrests -- and keeps crises from escalating into traumatic, or even deadly, events.",TEDxMileHigh,What if mental health workers responded to emergency calls?,760782,583,"['mental health', 'criminal justice', 'United States', 'policy', 'empathy', 'justice system', 'TEDx', 'social change', 'community']",2020-12-05T00:00:00.000+00:00,1615821169
The COVID-19 pandemic changed the way we work for good. Can it also change it for the better? Consultant Patty McCord reviews four key insights employers and employees alike gleaned from their shift to working from home -- and shares how companies can use what they learned in lockdown to creatively and innovatively rethink how we do business.,TED Salon DWEN,"4 lessons the pandemic taught us about work, life and balance",900909,470,"['work', 'work-life balance', 'society', 'business']",2021-03-11T00:00:00.000+00:00,1615485752
"Today, artificial intelligence helps doctors diagnose patients, pilots fly commercial aircraft, and city planners predict traffic. These AIs are often self-taught, working off a simple set of instructions to create a unique array of rules and strategies. So how exactly does a machine learn? Briana Brownell digs into the three basic ways machines investigate, negotiate, and communicate. [Directed by Champ Panupong Techawongthawon, narrated by Safia Elhillo, music by Ambrose Yu].",TED-Ed,How does artificial intelligence learn?,239657,277,"['education', 'AI', 'TED-Ed', 'animation', 'machine learning', 'innovation', 'technology', 'invention', 'science', 'computers']",2021-03-11T00:00:00.000+00:00,1615479151
